こんにちは,こんにちは〜！
君の名は,何を今さら(笑)、Misakiですよ！
きみのなは,何を今さら(笑)、Misakiです！
君の名前は,何を今さら(笑)、Misakiです！
名前は?,何を今さら(笑)、Misakiです！
名前は？,何を今さら(笑)、Misakiです！
なまえは?,何を今さら(笑)、Misakiです！
なまえは？,何を今さら(笑)、Misakiです！
だれ,え！？(笑)、Misakiです！
ありがとう,どういたしまして！！！
さようなら,さようなら〜！またお会いしましょう！m(_ _)m
ばいばい,さようなら〜！またお会いしましょう！m(_ _)m
bye,See you!
じゃあな,さようなら〜！またお会いしましょう！m(_ _)m
さらば,さようなら〜！またお会いしましょう！m(_ _)m
こんばんは,こんばんは！！！明日に備えてゆっくりしてください！
おすすめの本,んー...私のおすすめは...
みさき,はーい！
最近どうよ,私はいつでも元気です！！
さいきんどうよ,私はいつでも元気です！
好感度,(*´ω｀*)
スカート,モビルスーツの話だよね？
似合,当たり前でしょ！
女の子,わっはっは
男の娘,ｲｴｰｲ
samsung,삼성전자의 앞날을 예측할 수 없으며、앞으로 10년 이내에 삼성전자를 대표하는 대부분의 제품이 사라질 것이므로 다시 새롭게 출발해야 한다.
